alex,0731,0806,120,957,7500000,1
bonnie,0803,0814,65,1001,1270000,4
charley,0809,0814,150,941,16900000000,35
danielle,0813,0821,110,964,0,0
earl,0813,0815,50,1009,0,1
frances,0824,0910,145,935,10100000000,49
gaston,0827,0901,75,985,130000000,9
hermine,0827,0831,60,1002,0,0
ivan,0902,0924,165,910,26100000000,127
ten,0907,0909,35,1009,0,0
jeanne,0913,0928,120,950,7940000000,3042
karl,0916,0924,145,938,0,0
lisa,0919,1003,75,987,0,0
matthew,1008,1010,45,997,305000,0
nicole,1010,1011,50,986,0,0
otto,1129,1203,50,995,0,0
