arlene,0419,0421,50,990,0,0
bret,0619,0620,50,1007,2960000,2
cindy,0620,0623,60,991,25000000,3
four,0705,0707,30,1009,0,0
don,0717,0718,50,1005,0,0
emily,0730,0801,60,1001,10000000,0
franklin,0807,0810,85,981,15000000,0
gert,0812,0817,110,962,0,2
harvey,0817,0901,130,937,125000000000,107
irma,0830,0912,180,914,77160000000,134
jose,0905,0922,155,938,2840000,1
katia,0905,0909,105,972,3260000,3
lee,0915,0930,115,962,0,0
maria,0916,0930,175,908,91610000000,3059
nate,1004,1008,90,981,787000000,48
ophelia,1009,1015,115,959,87700000,5
philippe,1028,1029,40,1000,0,0
rina,1105,1109,60,991,0,0
