andrea,0509,0511,60,1000,0,6
barry,0601,0605,60,997,118000,3
chantal,0731,0801,50,94,24300000,0
dean,0813,0823,175,905,1660000000,45
erin,0815,0817,40,1003,248300000,21
felix,0831,0905,175,929,720000000,133
gabrielle,0908,0911,60,1004,5000,1
ingrid,0912,0917,45,1002,0,0
humberto,0912,0914,90,985,50000000,1
ten,0921,0922,35,1005,6200000,0
jerry,0923,0924,40,1003,0,0
karen,0925,0929,75,988,0,0
lorenzo,0925,0928,80,990,92000000,6
melissa,0928,0930,40,1005,0,0
fifteen,1011,1012,35,1011,0,0
noel,1028,1102,80,980,580000000,222
olga,1211,1212,60,1003,45000000,40
