alberto,0525,0531,65,990,125000000,18
beryl,0704,0715,80,991,0,0
chris,0706,0712,105,969,0,1
debby,0807,0809,50,998,0,0
ernesto,0815,0817,45,1003,0,0
florence,0831,0917,150,937,24200000000,54
gordon,0903,0906,70,996,200000000,4
helene,0907,0916,110,967,0,3
isaac,0907,0915,75,995,0,0
joyce,0912,0918,50,995,0,0
eleven,0921,0922,35,1007,0,0
kirk,0922,0928,65,998,444000,2
leslie,0923,1013,90,968,500000000,17
michael,1007,1011,160,919,25100000000,74
nadine,1009,1012,65,995,0,0
oscar,1026,1031,110,966,0,0
