andrea,0506,0521,40,1006,0,0
barry,0711,0715,75,993,600000000,1
three,0722,0723,35,1013,0,0
chantal,0820,0823,40,1007,0,0
dorian,0824,0907,185,910,4680000000,80
erin,0826,0829,40,1002,0,0
fernand,0903,0905,50,1000,213000000,1
gabrielle,0903,0910,65,995,0,0
humberto,0913,0920,125,951,1000000,1
imelda,0917,0919,40,1005,5000000000,5
jerry,0917,0924,105,976,0,0
karen,0922,0927,45,1002,0,0
lorenzo,0923,1002,160,925,362000000,19
melissa,1011,1014,65,995,0,0
fifteen,1014,1016,35,1006,0,0
nestor,1018,1019,60,006,150000000,3
olga,1025,1026,40,998,100000000,1
pablo,1025,1028,80,977,0,0
rebekah,1030,1101,45,987,0,0
sebastien,1119,1125,65,994,0,0
