ana,0420,0424,60,994,0,2
two,0611,0611,35,1008,0,0
bill,0628,0702,60,997,50500000,4
claudette,0708,0717,90,979,181000000,3
danny,0716,0721,75,1000,0,0
six,0719,0721,35,1010,0,0
seven,0725,0727,35,1016,0,0
erika,0814,0817,75,988,100000,2
nine,0821,0822,35,1007,20000,0
fabian,0825,0908,140,939,300000000,8
grace,0830,0902,40,1007,113000,0
henri,0903,0908,60,997,19600000,0
isabel,0906,0919,165,915,5500000000,51
fourteen,0908,0910,35,1007,0,0
juan,0924,0929,105,969,200000000,8
kate,0925,1007,125,952,0,0
larry,1001,1006,65,993,53600000,5
mindy,1010,1014,45,1002,500000,0
nicholas,1013,1023,70,990,0,0
odette,1204,1207,65,993,8000000,10
peter,1207,1211,70,990,0,0
