one,0607,0608,30,1008,0,0
two,0623,0625,35,1008,0,0
alberto,0803,0823,125,950,0,0
four,0808,0811,35,1009,0,0
beryl,0813,0815,50,1007,27000000,1
chris,0817,0819,40,1008,0,0
debby,0819,0824,85,991,735000,1
ernesto,0910,0903,40,1008,0,0
nine,0908,0909,35,1008,0,0
florence,0910,0917,80,985,0,3
gordon,0914,0921,80,981,10800000,26
helene,0915,0925,70,986,16000000,2
isaac,0921,1001,140,943,0,1
joyce,0925,1002,90,975,0,0
keith,0928,1006,140,939,319000000,68
leslie,1004,1007,45,1006,950000000,3
michael,1015,1020,100,965,0,0
nadine,1019,1021,60,999,0,0
unnamed,1025,1029,65,976,0,0
