arlene,0628,0701,65,993,223400000,22
bret,0717,0722,70,995,0,0
cindy,0720,0722,70,994,0,0
don,0727,0730,50,997,0,0
emily,0802,0807,50,1003,5000000,5
franklin,0812,0813,45,1004,0,0
gert,0813,0816,65,1000,0,0
harvey,0819,0822,65,994,0,5
irene,0821,0828,120,942,14200000000,58
ten,0825,0826,35,1006,0,0
jose,0827,0828,45,1006,0,0
katia,0829,0910,140,942,157000000,4
unnamed,0831,0903,45,1002,0,0
lee,0901,0905,60,986,2800000000,18
maria,0906,0916,80,983,1300000,0
nate,0907,0911,75,994,0,5
ophelia,0920,1003,140,940,0,0
philippe,0924,1008,90,976,0,0
rina,1023,1028,115,966,2300000,0
sean,1108,1111,65,982,0,1
