alex,0112,0115,85,981,0,1
bonnie,0527,0604,45,1006,640000,2
colin,0605,0607,50,1001,1040000,6
danielle,0619,0621,45,1007,0,1
earl,0802,0806,85,979,250000000,106
fiona,0816,0823,50,1004,0,0
gaston,0822,0902,120,955,0,0
eight,0828,0901,35,1010,0,0
hermine,0828,0903,80,981,550000,5
ian,0912,0916,60,994,0,0
julia,0913,0918,50,1007,6130000,0
karl,0914,0925,70,988,0,0
lisa,0919,0925,50,999,0,0
matthew,0928,1009,165,934,16470000000,603
nicole,1004,1018,140,950,15000000,1
otto,1120,1125,115,975,192200000,23
