allison,0604,0618,60,1000,8500000000,55
two,0711,0712,30,1010,0,0
barry,0802,0808,70,990,30000000,9
chantal,0814,0822,70,997,4000000,2
dean,0822,0828,70,994,7700000,0
erin,0901,0915,120,968,0,0
felix,0907,0919,115,962,0,0
gabrielle,0911,0919,80,975,230000000,3
nine,0919,0920,35,1005,0,0
humberto,0921,0927,105,970,0,0
iris,1004,1009,145,948,140000000,31
jerry,1006,1008,50,1004,0,0
karen,1012,1015,80,982,1400000,0
lorenzo,1027,1031,40,1007,0,0
michelle,1029,1105,140,933,2350000000,17
noel,1104,1106,75,986,0,0
olga,1124,1204,90,973,0,0
