alex,0625,0702,110,946,1520000000,52
two,0708,0709,35,1005,0,0
bonnie,0722,0724,45,1005,1360000,1
colin,0802,0808,60,1005,0,1
five,0810,0811,35,1007,1000000,2
danielle,0821,0830,130,942,0,2
earl,0825,0904,145,927,45000000,8
fiona,0830,0903,65,998,0,0
gaston,0901,0902,40,1005,0,0
hermine,0905,0909,70,989,740000000,102
igor,0908,0921,155,924,200500000,4
julia,0912,0920,140,948,0,0
karl,0914,0918,125,956,3900000000,22
lisa,0920,0926,85,982,0,0
matthew,0923,0926,60,998,171200000,126
nicole,0928,0929,45,995,245400000,16
otto,1006,1010,85,976,22500000,0
paula,1011,1015,105,981,0,1
richard,1020,1026,100,977,80000000,2
shary,1028,1030,75,989,0,0
tomas,1029,1107,100,982,463400000,51
