arthur,0531,0602,45,1004,78000000,5
bertha,0703,0720,125,952,0,3
cristobal,0719,0723,65,998,10000,0
dolly,0720,0725,100,963,1600000000,5
edouard,0803,0806,65,996,550000,6
fay,0815,0827,70,986,560000000,23
gustav,0825,0904,150,941,8310000000,161
hanna,0828,0907,85,877,160000000,537
ike,0901,0914,145,935,38000000000,192
josephine,0902,0906,65,994,0,0
kyle,0925,0929,85,984,57100000,8
laura,0929,1001,60,994,0,0
marco,1006,1007,65,998,0,0
nana,1012,1014,40,1004,0,0
omar,1013,1018,130,958,44600000,1
sixteen,1014,1015,30,1004,150000000,9
paloma,1105,1110,145,944,454500000,1
