arlene,0608,0613,70,989,11800000,1
bret,0628,0630,40,1002,9300000,1
cindy,0703,0707,75,991,320000000,5
dennis,0704,0713,150,930,3980000000,88
emily,0711,0721,160,929,1014000000,17
franklin,0721,0729,70,997,0,0
gert,0723,0725,45,1005,6000000,1
harvey,0802,0808,65,994,0,0
irene,0804,0818,105,970,0,1
ten,0813,0814,35,1008,0,0
jose,0822,0823,60,998,0,0
katrina,0823,0830,175,902,125000000000,1836
lee,0828,0902,40,1006,0,0
maria,0901,0910,115,962,3100000,4
nate,0905,0910,90,979,0,2
ophelia,0906,0917,85,976,70000000,3
philippe,0917,0923,80,985,0,0
rita,0918,0926,180,895,18500000000,125
nineteen,0930,1002,35,1006,0,0
stan,1001,1005,80,977,3960000000,1668
unnamed,1004,1005,50,997,0,0
tammy,1005,1006,50,1001,30000000,10
twenty-two,1008,1010,35,1008,0,10
vince,1008,1011,75,988,0,0
wilma,1015,1026,185,882,27400000000,87
alpha,1022,1024,50,998,0,26
beta,1026,1031,115,962,15500000,9
gamma,1114,1121,50,1002,18000000,39
delta,1122,1128,70,980,364000000,19
epsilon,1129,1208,85,981,0,0
zeta,1230,0106,65,994,0,0
